,target
2998,18
2999,6
3000,17
3001,9
3002,17
3003,5
3004,1
3005,3
3006,19
3007,13
3008,5
3009,11
3010,19
3011,15
3012,6
3013,15
3014,12
3015,1
3016,14
3017,8
3018,14
3019,15
3020,6
3021,19
3022,6
3023,5
3024,19
3025,1
3026,6
3027,3
3028,14
3029,17
3030,15
3031,14
3032,17
3033,7
3034,16
3035,3
3036,11
3037,6
3038,12
3039,12
3040,15
3041,10
3042,7
3043,14
3044,14
3045,10
3046,1
3047,2
3048,13
3049,3
3050,2
3051,12
3052,13
3053,6
3054,3
3055,1
3056,9
3057,4
3058,9
3059,4
3060,5
3061,18
3062,8
3063,18
3064,15
3065,18
3066,13
3067,8
3068,9
3069,15
3070,14
3071,9
3072,6
3073,1
3074,14
3075,9
3076,15
3077,1
3078,2
3079,4
3080,3
3081,4
3082,8
3083,9
3084,2
3085,18
3086,6
3087,16
3088,1
3089,13
3090,14
3091,11
3092,12
3093,8
3094,1
3095,16
3096,14
3097,14
3098,6
3099,15
3100,17
3101,17
3102,8
3103,7
3104,9
3105,5
3106,4
3107,17
3108,4
3109,12
3110,7
3111,1
3112,7
3113,12
3114,12
3115,9
3116,10
3117,17
3118,2
3119,1
3120,1
3121,0
3122,6
3123,15
3124,1
3125,17
3126,5
3127,6
3128,9
3129,13
3130,5
3131,7
3132,13
3133,17
3134,16
3135,14
3136,17
3137,13
3138,0
3139,0
3140,4
3141,16
3142,0
3143,13
3144,17
3145,8
3146,8
3147,5
3148,3
3149,19
3150,10
3151,4
3152,17
3153,3
3154,9
3155,3
3156,0
3157,17
3158,1
3159,4
3160,5
3161,13
3162,10
3163,6
3164,18
3165,0
3166,15
3167,10
3168,2
3169,6
3170,11
3171,3
3172,0
3173,15
3174,2
3175,19
3176,5
3177,13
3178,6
3179,6
3180,19
3181,11
3182,16
3183,7
3184,18
3185,13
3186,6
3187,13
3188,3
3189,15
3190,0
3191,16
3192,19
3193,1
3194,6
3195,4
3196,16
3197,6
3198,2
3199,15
3200,17
3201,8
3202,14
3203,18
3204,18
3205,5
3206,18
3207,15
3208,13
3209,3
3210,18
3211,17
3212,19
3213,13
3214,14
3215,8
3216,15
3217,2
3218,1
3219,18
3220,11
3221,15
3222,14
3223,5
3224,1
3225,8
3226,7
3227,4
3228,16
3229,9
3230,2
3231,11
3232,11
3233,15
3234,18
3235,11
3236,11
3237,0
3238,13
3239,11
3240,9
3241,6
3242,9
3243,7
3244,15
3245,3
3246,3
3247,4
3248,15
3249,9
3250,12
3251,13
3252,18
3253,8
3254,1
3255,13
3256,8
3257,17
3258,19
3259,15
3260,3
3261,1
3262,19
3263,17
3264,1
3265,13
3266,10
3267,16
3268,5
3269,8
3270,11
3271,11
3272,14
3273,4
3274,8
3275,11
3276,14
3277,6
3278,14
3279,1
3280,15
3281,4
3282,17
3283,2
3284,8
3285,14
3286,15
3287,11
3288,3
3289,19
3290,8
3291,10
3292,12
3293,2
3294,14
3295,14
3296,14
3297,1
3298,9
3299,8
3300,6
3301,16
3302,6
3303,13
3304,16
3305,8
3306,13
3307,5
3308,15
3309,6
3310,1
3311,7
3312,6
3313,10
3314,2
3315,3
3316,18
3317,10
3318,9
3319,7
3320,17
3321,8
3322,18
3323,1
3324,6
3325,13
3326,18
3327,9
3328,14
3329,11
3330,13
3331,8
3332,3
3333,15
3334,4
3335,13
3336,9
3337,17
3338,8
3339,10
3340,17
3341,4
3342,17
3343,16
3344,19
3345,1
3346,2
3347,10
3348,13
3349,17
3350,19
3351,10
3352,9
3353,2
3354,9
3355,8
3356,17
3357,4
3358,14
3359,7
3360,12
3361,17
3362,6
3363,17
3364,1
3365,9
3366,9
3367,16
3368,8
3369,17
3370,1
3371,18
3372,5
3373,4
3374,2
3375,3
3376,9
3377,10
3378,18
3379,8
3380,3
3381,5
3382,11
3383,11
3384,18
3385,16
3386,7
3387,11
3388,7
3389,0
3390,3
3391,19
3392,10
3393,10
3394,11
3395,15
3396,13
3397,14
3398,14
3399,0
3400,15
3401,5
3402,14
3403,11
3404,5
3405,2
3406,5
3407,11
3408,1
3409,8
3410,11
3411,15
3412,12
3413,7
3414,6
3415,0
3416,13
3417,17
3418,18
3419,4
3420,7
3421,12
3422,3
3423,13
3424,8
3425,5
3426,0
3427,7
3428,19
3429,1
3430,11
3431,1
3432,10
3433,11
3434,1
3435,17
3436,12
3437,18
3438,0
3439,5
3440,13
3441,9
3442,7
3443,14
3444,1
3445,9
3446,10
3447,6
3448,2
3449,1
3450,7
3451,2
3452,15
3453,5
3454,2
3455,11
3456,10
3457,4
3458,10
3459,5
3460,8
3461,14
3462,5
3463,10
3464,17
3465,18
3466,6
3467,13
3468,1
3469,11
3470,9
3471,14
3472,7
3473,16
3474,14
3475,17
3476,12
3477,5
3478,18
3479,12
3480,14
3481,13
3482,2
3483,3
3484,9
3485,19
3486,0
3487,2
3488,8
3489,3
3490,11
3491,14
3492,4
3493,15
3494,6
3495,17
3496,1
3497,4
3498,8
3499,3
3500,18
3501,3
3502,5
3503,1
3504,2
3505,4
3506,8
3507,2
3508,11
3509,5
3510,12
3511,16
3512,6
3513,13
3514,16
3515,19
3516,9
3517,2
3518,16
3519,8
3520,10
3521,6
3522,3
3523,4
3524,10
3525,16
3526,3
3527,1
3528,0
3529,16
3530,9
3531,6
3532,12
3533,18
3534,14
3535,13
3536,16
3537,11
3538,17
3539,16
3540,0
3541,11
3542,18
3543,8
3544,3
3545,18
3546,2
3547,8
3548,2
3549,6
3550,7
3551,1
3552,11
3553,8
3554,4
3555,4
3556,15
3557,16
3558,1
3559,4
3560,0
3561,12
3562,6
3563,10
3564,14
3565,9
3566,7
3567,16
3568,19
3569,4
3570,14
3571,15
3572,18
3573,19
3574,15
3575,15
3576,10
3577,0
3578,15
3579,4
3580,0
3581,17
3582,6
3583,0
3584,1
3585,3
3586,13
3587,0
3588,5
3589,8
3590,12
3591,2
3592,19
3593,3
3594,10
3595,17
3596,18
3597,9
3598,18
3599,12
3600,18
3601,11
3602,7
3603,4
3604,6
3605,13
3606,3
3607,0
3608,9
3609,15
3610,17
3611,12
3612,0
3613,3
3614,12
3615,10
3616,19
3617,0
3618,10
3619,9
3620,4
3621,11
3622,4
3623,17
3624,10
3625,10
3626,14
3627,14
3628,13
3629,13
3630,1
3631,12
3632,4
3633,0
3634,15
3635,6
3636,12
3637,15
3638,12
3639,12
3640,15
3641,13
3642,19
3643,8
3644,10
3645,3
3646,8
3647,2
3648,19
3649,11
3650,9
3651,3
3652,13
3653,11
3654,13
3655,12
3656,10
3657,7
3658,1
3659,16
3660,15
3661,1
3662,5
3663,5
3664,10
3665,14
3666,11
3667,1
3668,12
3669,13
3670,12
3671,5
3672,18
3673,1
3674,12
3675,15
3676,14
3677,8
3678,7
3679,6
3680,5
3681,16
3682,4
3683,1
3684,11
3685,16
3686,8
3687,17
3688,18
3689,12
3690,6
3691,13
3692,15
3693,3
3694,17
3695,2
3696,1
3697,10
3698,5
3699,11
3700,10
3701,5
3702,12
3703,2
3704,19
3705,13
3706,10
3707,14
3708,11
3709,1
3710,11
3711,9
3712,8
3713,9
3714,3
3715,18
3716,2
3717,14
3718,3
3719,8
3720,14
3721,0
3722,13
3723,6
3724,18
3725,3
3726,10
3727,14
3728,18
3729,0
3730,7
3731,0
3732,18
3733,12
3734,14
3735,7
3736,11
3737,17
3738,19
3739,18
3740,0
3741,19
3742,11
3743,15
3744,3
3745,0
3746,18
3747,19
3748,8
3749,0
3750,6
3751,13
3752,14
3753,12
3754,17
3755,10
3756,4
3757,1
3758,12
3759,7
3760,10
3761,14
3762,1
3763,14
3764,3
3765,19
3766,14
3767,7
3768,2
3769,9
3770,18
3771,2
3772,3
3773,19
3774,15
3775,12
3776,17
3777,6
3778,7
3779,8
3780,6
3781,7
3782,1
3783,11
3784,16
3785,13
3786,1
3787,0
3788,7
3789,14
3790,2
3791,0
3792,15
3793,19
3794,6
3795,10
3796,5
3797,4
3798,4
3799,18
3800,16
3801,5
3802,5
3803,1
3804,12
3805,15
3806,10
3807,15
3808,13
3809,12
3810,19
3811,14
3812,5
3813,10
3814,3
3815,4
3816,19
3817,18
3818,14
3819,7
3820,5
3821,3
3822,8
3823,17
3824,17
3825,3
3826,12
3827,0
3828,2
3829,14
3830,12
3831,10
3832,3
3833,7
3834,18
3835,12
3836,14
3837,14
3838,15
3839,11
3840,14
3841,6
3842,2
3843,15
3844,11
3845,0
3846,11
3847,3
3848,8
3849,5
3850,5
3851,8
3852,8
3853,15
3854,9
3855,1
3856,16
3857,6
3858,5
3859,8
3860,7
3861,0
3862,18
3863,10
3864,1
3865,2
3866,13
3867,6
3868,3
3869,16
3870,10
3871,2
3872,15
3873,5
3874,2
3875,8
3876,13
3877,3
3878,4
3879,7
3880,1
3881,11
3882,13
3883,6
3884,14
3885,0
3886,7
3887,2
3888,13
3889,13
3890,1
3891,18
3892,10
3893,13
3894,8
3895,0
3896,15
3897,15
3898,7
3899,7
3900,16
3901,7
3902,19
3903,14
3904,11
3905,2
3906,0
3907,19
3908,11
3909,9
3910,8
3911,5
3912,2
3913,6
3914,11
3915,1
3916,12
3917,17
3918,18
3919,10
3920,15
3921,11
3922,12
3923,9
3924,11
3925,6
3926,13
3927,16
3928,17
3929,5
3930,8
3931,5
3932,11
3933,9
3934,8
3935,0
3936,19
3937,2
3938,11
3939,10
3940,8
3941,5
3942,4
3943,6
3944,10
3945,13
3946,7
3947,1
3948,12
3949,6
3950,3
3951,12
3952,15
3953,12
3954,6
3955,1
3956,18
3957,12
3958,12
3959,13
3960,9
3961,3
3962,9
3963,1
3964,16
3965,13
3966,1
3967,7
3968,12
3969,0
3970,10
3971,2
3972,3
3973,10
3974,2
3975,15
3976,5
3977,8
3978,8
3979,5
3980,14
3981,9
3982,9
3983,15
3984,7
3985,3
3986,17
3987,0
3988,9
3989,16
3990,14
3991,7
3992,11
3993,14
3994,8
3995,9
3996,1
3997,10
3998,0
3999,1
4000,12
4001,16
4002,5
4003,14
4004,17
4005,18
4006,18
4007,8
4008,0
4009,19
4010,5
4011,17
4012,10
4013,14
4014,5
4015,3
4016,13
4017,1
4018,5
4019,13
4020,18
4021,9
4022,13
4023,9
4024,18
4025,13
4026,3
4027,4
4028,1
4029,5
4030,15
4031,1
4032,9
4033,17
4034,11
4035,0
4036,10
4037,16
4038,15
4039,18
4040,9
4041,12
4042,1
4043,16
4044,7
4045,17
4046,13
4047,4
4048,14
4049,14
4050,11
4051,18
4052,3
4053,9
4054,3
4055,2
4056,7
4057,14
4058,4
4059,8
4060,8
4061,10
4062,1
4063,12
4064,10
4065,16
4066,18
4067,11
4068,16
4069,9
4070,9
4071,15
4072,18
4073,10
4074,11
4075,8
4076,3
4077,7
4078,10
4079,19
4080,2
4081,12
4082,13
4083,14
4084,8
4085,13
4086,1
4087,11
4088,14
4089,11
4090,2
4091,3
4092,8
4093,3
4094,0
4095,14
4096,2
4097,16
4098,5
4099,11
4100,11
4101,17
4102,9
4103,4
4104,17
4105,13
4106,15
4107,10
4108,6
4109,1
4110,12
4111,14
4112,5
4113,10
4114,11
4115,9
4116,12
4117,18
4118,12
4119,10
4120,2
4121,18
4122,13
4123,9
4124,15
4125,16
4126,18
4127,12
4128,0
4129,8
4130,0
4131,12
4132,15
4133,5
4134,14
4135,17
4136,6
4137,19
4138,12
4139,11
4140,5
4141,8
4142,4
4143,4
4144,17
4145,1
4146,9
4147,5
4148,18
4149,18
4150,0
4151,6
4152,10
4153,6
4154,18
4155,5
4156,10
4157,13
4158,11
4159,15
4160,13
4161,8
4162,10
4163,16
4164,9
4165,11
4166,1
4167,11
4168,6
4169,6
4170,15
4171,2
4172,5
4173,19
4174,13
4175,0
4176,8
4177,12
4178,7
4179,18
4180,5
4181,1
4182,0
4183,1
4184,11
4185,11
4186,2
4187,9
4188,8
4189,10
4190,11
4191,8
4192,16
4193,10
4194,6
4195,17
4196,7
4197,19
4198,1
4199,17
4200,10
4201,16
4202,7
4203,4
4204,0
4205,5
4206,8
4207,4
4208,1
4209,7
4210,8
4211,8
4212,9
4213,17
4214,9
4215,13
4216,12
4217,8
4218,0
4219,4
4220,16
4221,9
4222,8
4223,19
4224,18
4225,8
4226,9
4227,12
4228,8
4229,2
4230,2
4231,11
4232,3
4233,7
4234,5
4235,3
4236,14
4237,7
4238,12
4239,13
4240,9
4241,3
4242,13
4243,10
4244,6
4245,18
4246,7
4247,5
4248,12
4249,6
4250,12
4251,15
4252,9
4253,18
4254,3
4255,1
4256,9
4257,14
4258,6
4259,12
4260,10
4261,6
4262,9
4263,8
4264,15
4265,5
4266,16
4267,2
4268,7
4269,4
4270,12
4271,18
4272,9
4273,3
4274,2
4275,16
4276,14
4277,11
4278,6
4279,7
4280,5
4281,8
4282,14
4283,12
4284,3
4285,15
4286,10
4287,12
4288,17
4289,13
4290,2
4291,15
4292,5
4293,14
4294,9
4295,15
4296,12
4297,15
4298,12
4299,19
4300,11
4301,17
4302,5
4303,6
4304,0
4305,1
4306,12
4307,14
4308,11
4309,9
4310,11
4311,3
4312,14
4313,15
4314,14
4315,17
4316,0
4317,5
4318,18
4319,3
4320,2
4321,6
4322,11
4323,13
4324,16
4325,7
4326,4
4327,14
4328,4
4329,1
4330,8
4331,4
4332,3
4333,7
4334,3
4335,7
4336,12
4337,9
4338,17
4339,19
4340,1
4341,3
4342,17
4343,2
4344,19
4345,4
4346,17
4347,1
4348,4
4349,9
4350,16
4351,14
4352,9
4353,5
4354,9
4355,0
4356,7
4357,16
4358,4
4359,4
4360,6
4361,9
4362,15
4363,3
4364,12
4365,13
4366,4
4367,13
4368,11
4369,12
4370,3
4371,1
4372,1
4373,7
4374,3
4375,13
4376,17
4377,5
4378,13
4379,18
4380,9
4381,15
4382,17
4383,5
4384,7
4385,9
4386,14
4387,8
4388,18
4389,8
4390,3
4391,7
4392,4
4393,9
4394,1
4395,5
4396,12
4397,13
4398,8
4399,17
4400,16
4401,6
4402,3
4403,13
4404,17
4405,12
4406,5
4407,9
4408,8
4409,11
4410,4
4411,10
4412,12
4413,19
4414,2
4415,2
4416,18
4417,16
4418,2
4419,12
4420,0
4421,16
4422,16
4423,7
4424,12
4425,14
4426,0
4427,11
4428,19
4429,11
4430,1
4431,14
4432,3
4433,19
4434,15
4435,18
4436,11
4437,12
4438,11
4439,15
4440,1
4441,15
4442,14
4443,14
4444,14
4445,7
4446,12
4447,13
4448,15
4449,6
4450,9
4451,3
4452,8
4453,5
4454,17
4455,8
4456,7
4457,13
4458,1
4459,8
4460,16
4461,9
4462,4
4463,5
4464,18
4465,14
4466,10
4467,3
4468,17
4469,10
4470,8
4471,13
4472,6
4473,8
4474,6
4475,12
4476,1
4477,8
4478,4
4479,1
4480,10
4481,10
4482,1
4483,6
4484,6
4485,8
4486,19
4487,12
4488,4
4489,3
4490,9
4491,3
4492,8
4493,13
4494,19
4495,2
4496,3
4497,8
4498,11
4499,11
4500,14
4501,13
4502,18
4503,2
4504,14
4505,8
4506,7
4507,17
4508,2
4509,2
4510,5
4511,0
4512,4
4513,15
4514,6
4515,2
4516,6
4517,2
4518,5
4519,7
4520,8
4521,9
4522,19
4523,11
4524,10
4525,12
4526,17
4527,5
4528,5
4529,10
4530,14
4531,14
4532,1
4533,8
4534,2
4535,14
4536,0
4537,14
4538,18
4539,8
4540,12
4541,10
4542,4
4543,1
4544,9
4545,1
4546,8
4547,9
4548,17
4549,5
4550,6
4551,14
4552,14
4553,12
4554,8
4555,6
4556,5
4557,11
4558,2
4559,0
4560,9
4561,3
4562,15
4563,8
4564,17
4565,10
4566,4
4567,14
4568,9
4569,10
4570,14
4571,8
4572,3
4573,17
4574,9
4575,4
4576,10
4577,2
4578,17
4579,11
4580,17
4581,15
4582,10
4583,1
4584,11
4585,16
4586,0
4587,4
4588,13
4589,1
4590,4
4591,11
4592,4
4593,6
4594,6
4595,14
4596,0
4597,8
4598,9
4599,10
4600,7
4601,5
4602,18
4603,11
4604,11
4605,6
4606,12
4607,15
4608,15
4609,4
4610,11
4611,5
4612,2
4613,7
4614,5
4615,2
4616,4
4617,5
4618,0
4619,13
4620,16
4621,1
4622,0
4623,18
4624,17
4625,14
4626,15
4627,7
4628,7
4629,10
4630,17
4631,3
4632,17
4633,5
4634,11
4635,5
4636,6
4637,8
4638,16
4639,5
4640,19
4641,13
4642,2
4643,5
4644,6
4645,13
4646,0
4647,14
4648,6
4649,13
4650,1
4651,12
4652,4
4653,8
4654,10
4655,0
4656,12
4657,14
4658,3
4659,7
4660,10
4661,7
4662,0
4663,15
4664,12
4665,3
4666,5
4667,6
4668,7
4669,12
4670,5
4671,19
4672,10
4673,2
4674,4
4675,13
4676,3
4677,2
4678,6
4679,5
4680,11
4681,0
4682,11
4683,4
4684,18
4685,8
4686,11
4687,16
4688,1
4689,17
4690,11
4691,1
4692,9
4693,4
4694,9
4695,10
4696,18
4697,10
4698,15
4699,16
4700,17
4701,2
4702,18
4703,15
4704,4
4705,1
4706,14
4707,4
4708,7
4709,6
4710,3
4711,0
4712,12
4713,15
4714,10
4715,1
4716,2
4717,11
4718,0
4719,4
4720,12
4721,5
4722,19
4723,11
4724,5
4725,9
4726,3
4727,6
4728,1
4729,19
4730,6
4731,7
4732,18
4733,14
4734,9
4735,19
4736,4
4737,5
4738,13
4739,7
4740,7
4741,17
4742,4
4743,9
4744,18
4745,8
4746,2
4747,16
4748,11
4749,3
4750,14
4751,10
4752,2
4753,2
4754,4
4755,6
4756,10
4757,7
4758,13
4759,14
4760,16
4761,13
4762,16
4763,7
4764,8
4765,6
4766,16
4767,14
4768,8
4769,12
4770,3
4771,4
4772,2
4773,14
4774,3
4775,3
4776,17
4777,18
4778,4
4779,12
4780,0
4781,10
4782,1
4783,10
4784,6
4785,15
4786,0
4787,6
4788,7
4789,14
4790,12
4791,11
4792,11
4793,16
4794,2
4795,12
4796,6
4797,13
4798,5
4799,9
4800,15
4801,4
4802,11
4803,15
4804,1
4805,19
4806,18
4807,2
4808,2
4809,18
4810,16
4811,18
4812,3
4813,7
4814,13
4815,14
4816,19
4817,3
4818,10
4819,13
4820,13
4821,16
4822,3
4823,9
4824,3
4825,10
4826,4
4827,13
4828,13
4829,6
4830,18
4831,17
4832,13
4833,17
4834,17
4835,9
4836,12
4837,10
4838,11
4839,2
4840,14
4841,8
4842,3
4843,9
4844,12
4845,12
4846,16
4847,2
4848,7
4849,8
4850,6
4851,6
4852,13
4853,16
4854,11
4855,14
4856,14
4857,14
4858,19
4859,1
4860,9
4861,19
4862,7
4863,19
4864,9
4865,6
4866,11
4867,12
4868,19
4869,11
4870,15
4871,9
4872,2
4873,4
4874,17
4875,17
4876,19
4877,15
4878,4
4879,14
4880,3
4881,19
4882,3
4883,7
4884,15
4885,0
4886,0
4887,2
4888,8
4889,2
4890,10
4891,13
4892,0
4893,16
4894,4
4895,5
4896,6
4897,4
4898,3
4899,11
4900,0
4901,12
4902,4
4903,6
4904,18
4905,6
4906,10
4907,11
4908,5
4909,2
4910,0
4911,16
4912,6
4913,1
4914,12
4915,13
4916,15
4917,6
4918,17
4919,3
4920,19
4921,14
4922,6
4923,4
4924,18
4925,10
4926,3
4927,3
4928,13
4929,10
4930,8
4931,14
4932,12
4933,12
4934,0
4935,3
4936,1
4937,8
4938,6
4939,9
4940,2
4941,13
4942,5
4943,10
4944,10
4945,3
4946,13
4947,2
4948,12
4949,16
4950,12
4951,6
4952,12
4953,1
4954,11
4955,11
4956,11
4957,14
4958,5
4959,8
4960,6
4961,9
4962,11
4963,6
4964,6
4965,4
4966,1
4967,15
4968,16
4969,8
4970,0
4971,4
4972,9
4973,13
4974,5
4975,8
4976,14
4977,12
4978,13
4979,18
4980,0
4981,15
4982,6
4983,7
4984,7
4985,7
4986,14
4987,17
4988,13
4989,2
4990,12
4991,2
4992,5
4993,5
4994,5
4995,0
4996,13
4997,0
4998,7
4999,8
5000,0
5001,15
5002,16
5003,2
5004,15
5005,7
5006,0
5007,10
5008,9
5009,4
5010,12
5011,14
5012,0
5013,4
5014,3
5015,6
5016,19
5017,3
5018,2
5019,2
5020,16
5021,16
5022,17
5023,17
5024,13
5025,15
5026,4
5027,17
5028,7
5029,2
5030,14
5031,10
5032,12
5033,4
5034,13
5035,10
5036,18
5037,5
5038,13
5039,9
5040,14
5041,17
5042,5
5043,3
5044,16
5045,2
5046,3
5047,2
5048,8
5049,14
5050,17
5051,16
5052,14
5053,12
5054,5
5055,3
5056,6
5057,12
5058,11
5059,4
5060,16
5061,6
5062,14
5063,8
5064,10
5065,13
5066,14
5067,12
5068,17
5069,12
5070,3
5071,14
5072,5
5073,10
5074,0
5075,0
5076,4
5077,3
5078,4
5079,1
5080,10
5081,0
5082,1
5083,5
5084,0
5085,1
5086,17
5087,13
5088,5
5089,3
5090,2
5091,1
5092,4
5093,13
5094,1
5095,19
5096,19
5097,4
5098,15
5099,15
5100,9
5101,14
5102,4
5103,1
5104,7
5105,9
5106,2
5107,3
5108,3
5109,19
5110,19
5111,17
5112,11
5113,3
5114,12
5115,12
5116,12
5117,19
5118,16
5119,10
5120,16
5121,5
5122,11
5123,14
5124,2
5125,14
5126,17
5127,1
5128,17
5129,2
5130,11
5131,10
5132,5
5133,7
5134,12
5135,7
5136,18
5137,14
5138,15
5139,3
5140,1
5141,16
5142,5
5143,18
5144,11
5145,4
5146,8
5147,5
5148,7
5149,9
5150,15
5151,7
5152,4
5153,18
5154,1
5155,17
5156,3
5157,2
5158,11
5159,18
5160,2
5161,10
5162,12
5163,19
5164,10
5165,0
5166,12
5167,7
5168,5
5169,13
5170,14
5171,7
5172,14
5173,9
5174,17
5175,5
5176,7
5177,8
5178,5
5179,3
5180,7
5181,0
5182,1
5183,16
5184,7
5185,6
5186,9
5187,10
5188,13
5189,16
5190,13
5191,7
5192,6
5193,4
5194,12
5195,10
5196,3
5197,12
5198,5
5199,3
5200,0
5201,3
5202,7
5203,6
5204,13
5205,7
5206,7
5207,14
5208,14
5209,0
5210,18
5211,18
5212,17
5213,15
5214,9
5215,14
5216,10
5217,12
5218,12
5219,5
5220,18
5221,1
5222,0
5223,5
5224,8
5225,3
5226,8
5227,9
5228,6
5229,9
5230,1
5231,6
5232,10
5233,4
5234,9
5235,5
5236,3
5237,12
5238,17
5239,7
5240,10
5241,8
5242,8
5243,8
5244,0
5245,8
5246,12
5247,18
5248,6
5249,8
5250,4
5251,6
5252,10
5253,19
5254,0
5255,19
5256,15
5257,8
5258,17
5259,6
5260,3
5261,14
5262,3
5263,0
5264,15
5265,5
5266,3
5267,13
5268,14
5269,2
5270,1
5271,12
5272,7
5273,4
5274,12
5275,6
5276,17
5277,10
5278,16
5279,12
5280,4
5281,5
5282,7
5283,12
5284,1
5285,15
5286,19
5287,11
5288,3
5289,9
5290,9
5291,5
5292,9
5293,18
5294,17
5295,1
5296,12
5297,5
5298,4
5299,0
5300,8
5301,13
5302,2
5303,12
5304,14
5305,4
5306,1
5307,16
5308,8
5309,19
5310,16
5311,9
5312,2
5313,6
5314,4
5315,7
5316,15
5317,6
5318,4
5319,6
5320,15
5321,8
5322,19
5323,9
5324,14
5325,9
5326,9
5327,14
5328,1
5329,5
5330,8
5331,11
5332,17
5333,2
5334,10
5335,17
5336,17
5337,7
5338,16
5339,4
5340,0
5341,9
5342,17
5343,6
5344,15
5345,1
5346,19
5347,2
5348,1
5349,8
5350,14
5351,3
5352,2
5353,17
5354,6
5355,16
5356,14
5357,2
5358,8
5359,11
5360,10
5361,8
5362,12
5363,5
5364,15
5365,12
5366,10
5367,0
5368,13
5369,1
5370,0
5371,7
5372,7
5373,3
5374,4
5375,2
5376,14
5377,8
5378,15
5379,5
5380,18
5381,13
5382,15
5383,3
5384,1
5385,16
5386,11
5387,13
5388,6
5389,13
5390,0
5391,1
5392,6
5393,10
5394,17
5395,17
5396,17
5397,9
5398,9
5399,17
5400,7
5401,1
5402,13
5403,5
5404,3
5405,1
5406,11
5407,11
5408,3
5409,2
5410,8
5411,1
5412,3
5413,12
5414,2
5415,19
5416,4
5417,10
5418,18
5419,16
5420,10
5421,12
5422,18
5423,17
5424,19
5425,1
5426,8
5427,17
5428,7
5429,7
5430,6
5431,16
5432,1
5433,5
5434,15
5435,3
5436,14
5437,6
5438,7
5439,9
5440,4
5441,15
5442,10
5443,14
5444,13
5445,9
5446,18
5447,13
5448,17
5449,11
5450,5
5451,5
5452,15
5453,8
5454,17
5455,3
5456,13
5457,0
5458,8
5459,18
5460,16
5461,8
5462,3
5463,12
5464,3
5465,2
5466,1
5467,16
5468,1
5469,5
5470,3
5471,11
5472,10
5473,5
5474,17
5475,2
5476,6
5477,5
5478,17
5479,11
5480,11
5481,8
5482,3
5483,17
5484,11
5485,11
5486,18
5487,17
5488,7
5489,3
5490,10
5491,9
5492,12
5493,12
5494,19
5495,4
5496,8
5497,7
5498,12
5499,4
5500,15
5501,1
5502,13
5503,11
5504,4
5505,12
5506,9
5507,8
5508,13
5509,4
5510,6
5511,13
5512,10
5513,16
5514,1
5515,1
5516,18
5517,15
5518,8
5519,14
5520,19
5521,2
5522,19
5523,17
5524,5
5525,5
5526,18
5527,16
5528,11
5529,4
5530,4
5531,6
5532,10
5533,12
5534,16
5535,19
5536,15
5537,13
5538,17
5539,9
5540,1
5541,4
5542,6
5543,3
5544,18
5545,15
5546,13
5547,1
5548,18
5549,0
5550,12
5551,2
5552,16
5553,7
5554,9
5555,11
5556,5
5557,13
5558,5
5559,15
5560,5
5561,6
5562,17
5563,10
5564,8
5565,14
5566,6
5567,18
5568,0
5569,4
5570,15
5571,6
5572,15
5573,16
5574,15
5575,8
5576,11
5577,15
5578,2
5579,13
5580,14
5581,14
5582,6
5583,8
5584,15
5585,3
5586,13
5587,11
5588,2
5589,18
5590,16
5591,7
5592,8
5593,4
5594,4
5595,4
5596,16
5597,9
5598,7
5599,14
5600,12
5601,15
5602,15
5603,17
5604,6
5605,15
5606,6
5607,2
5608,13
5609,19
5610,5
5611,17
5612,11
5613,15
5614,6
5615,1
5616,19
5617,4
5618,6
5619,15
5620,14
5621,4
5622,17
5623,12
5624,4
5625,8
5626,6
5627,5
5628,3
5629,7
5630,2
5631,14
5632,8
5633,9
5634,10
5635,4
5636,2
5637,12
5638,12
5639,9
5640,11
5641,0
5642,13
5643,0
5644,5
5645,13
5646,13
5647,15
5648,5
5649,7
5650,10
5651,8
5652,12
5653,5
5654,8
5655,19
5656,7
5657,16
5658,11
5659,2
5660,4
5661,12
5662,7
5663,13
5664,16
5665,3
5666,6
5667,6
5668,13
5669,8
5670,12
5671,3
5672,18
5673,8
5674,16
5675,6
5676,2
5677,3
5678,0
5679,2
5680,17
5681,5
5682,16
5683,12
5684,12
5685,8
5686,6
5687,8
5688,5
5689,9
5690,17
5691,7
5692,10
5693,5
5694,12
5695,18
5696,15
5697,11
5698,19
5699,0
5700,8
5701,8
5702,7
5703,3
5704,1
5705,15
5706,6
5707,17
5708,6
5709,15
5710,9
5711,11
5712,9
5713,10
5714,4
5715,17
5716,7
5717,2
5718,10
5719,10
5720,13
5721,7
5722,6
5723,4
5724,7
5725,15
5726,9
5727,6
5728,15
5729,14
5730,6
5731,6
5732,2
5733,11
5734,9
5735,8
5736,18
5737,5
5738,0
5739,1
5740,17
5741,0
5742,10
5743,10
5744,16
5745,13
5746,15
5747,10
5748,7
5749,7
5750,4
5751,16
5752,7
5753,3
5754,11
5755,1
5756,13
5757,1
5758,10
5759,17
5760,13
5761,1
5762,17
5763,3
5764,6
5765,15
5766,0
5767,18
5768,8
5769,7
5770,17
5771,16
5772,5
5773,1
5774,4
5775,17
5776,15
5777,2
5778,17
5779,1
5780,10
5781,10
5782,9
5783,10
5784,8
5785,10
5786,3
5787,17
5788,13
5789,0
5790,10
5791,9
5792,6
5793,15
5794,19
5795,6
5796,3
